Breed,Age_in_years,Age_in_months,Gender,Neutered_or_spayed,Body_length,Weight,Fur_colour_dominant,Fur_pattern,Eye_colour,Allowed_outdoor,Preferred_food,Owner_play_time_minutes,Sleep_time_hours,Country,Latitude,Longitude
Angora,-7.416666667,-89,female,True,34,3.3,white,solid,amber,FALSE,wet,32,14,Usa,40.71427,-74.00597
Angora,-7.583333333,-91,male,True,39,5.4,white,solid,amber,FALSE,wet,5,14,Usa,40.71427,-74.00597
Angora,-7.583333333,-91,male,True,40,5.5,red/cream,tabby,blue,FALSE,wet,14,14,Usa,38.89511,-77.03637
Angora,-7.666666667,-92,male,False,36,4.9,white,solid,blue,FALSE,wet,31,18,Usa,38.89511,-77.03637
Angora,7.67,92,male,True,40,5.3,black,solid,blue,FALSE,wet,39,18,Usa,40.71427,-74.00597
Angora,7.75,93,female,True,33,3.1,white,solid,blue,TRUE,wet,26,18,Usa,38.89511,-77.03637
Angora,7.75,93,male,True,42,4.7,white,solid,green,FALSE,wet,16,14,Usa,45.52345,-122.67621
Angora,7.75,93,female,False,37,2.8,white,solid,green,FALSE,dry,28,18,Usa,47.60621,-122.33207
Angora,7.75,93,male,True,37,4.2,white,solid,blue,FALSE,wet,15,18,Usa,38.89511,-77.03637
Angora,7.75,93,male,False,41,3.8,black,solid,blue,FALSE,wet,30,20,Usa,40.71427,-74.00597
Angora,7.83,94,male,False,37,3.5,white,solid,amber,FALSE,wet,25,14,Usa,42.35843,-71.05977
Angora,7.83,94,male,True,38,4.6,white,solid,amber,FALSE,wet,37,14,Usa,40.71427,-74.00597
Angora,7.83,57,male,True,38,4.0,white,solid,amber,FALSE,dry,27,16,Usa,39.29038,-76.61219
Angora,7.83,57,male,True,40,5.3,white,solid,amber,FALSE,wet,25,18,Usa,38.89511,-77.03637
Angora,7.83,57,female,True,33,4.0,white,bicolor,blue,TRUE,wet,10,16,Usa,42.35843,-71.05977
Angorra,7.83,57,male,False,40,4.3,white,solid,blue,FALSE,wet,25,18,Usa,42.35843,-71.05977
Angorra,7.83,94,male,True,39,5.0,red/cream,solid,blue,FALSE,wet,24,16,Where i live,40.71427,-74.00597
Angorra,7.92,95,male,True,39,3.8,white,solid,blue,FALSE,wet,32,19,Usa,37.77493,-122.41942
Angorra,8.0,96,female,False,37,3.4,black,solid,blue,FALSE,wet,29,17,Usa,42.35843,-71.05977
Angorra,8.0,96,male,False,36,4.5,white,solid,blue,FALSE,dry,28,16,Usa,45.52345,-122.67621
Angora,8.0,96,female,True,34,4.9,white,solid,amber,FALSE,wet,17,19,Usa,40.71427,-74.00597
Angora,7.17,86,male,False,36,3.5,red/cream,solid,blue,FALSE,dry,29,20,Usa,38.89511,-77.03637
Angora,8.08,97,female,False,33,3.1,white,solid,amber,FALSE,wet,18,19,Usa,40.71427,-74.00597
Angora,8.08,97,male,True,41,4.2,black,bicolor,amber,TRUE,wet,9,18,Usa,42.35843,-71.05977
Angora,8.08,97,male,True,37,3.8,red/cream,tabby,blue,FALSE,wet,27,16,With me,41.881832,-87.623177
Angora,4.0,48,male,True,36,2.4,white,solid,blue,TRUE,wet,14,14,Usa,37.77493,-122.41942
Angora,8.25,99,male,True,34,3.6,white,dirty,amber,FALSE,wet,25,19,Usa,39.29038,-76.61219
Angora,4.17,50,male,False,35,2.8,white,solid,blue,FALSE,dry,20,14,Usa,45.52345,-122.67621
Angora,4.75,61,male,False,36,2.3,white,solid,blue,FALSE,dry,16,16,Usa,45.52345,-122.67621
Angora,4.75,55,male,True,35,2.8,white,solid,amber,FALSE,dry,25,17,Usa,38.89511,-77.03637
Angora,4.75,102,male,False,40,4.0,white,solid,blue,FALSE,dry,18,14,Usa,45.52345,-122.67621
Angora,4.75,85,male,True,36,4.8,black,bicolor,blue,TRUE,wet,9,16,Usa,40.71427,-74.00597
Angora,4.75,84,female,False,33,3.0,white,solid,blue,FALSE,dry,34,14,Usa,47.60621,-122.33207
Angora,4.75,103,male,False,39,4.4,white,solid,amber,FALSE,wet,18,16,Usa,42.35843,-71.05977
Angora,4.75,86,female,False,38,4.6,white,solid,blue,FALSE,wet,21,14,Usa,47.60621,-122.33207
Angora,4.75,103,male,True,52,5.0,red/cream,solid,blue,FALSE,wet,30,16,Usa,38.89511,-77.03637
Angora,8.67,104,female,True,35,4.1,white,solid,I dont know. Its pretty!,FALSE,dry,15,16,Usa,40.71427,-74.00597
Angora,4.75,57,female,True,34,2.7,white,solid,blue,TRUE,wet,22,14,Usa,47.60621,-122.33207
Angora,6.83,82,female,True,36,3.6,white,solid,blue,FALSE,wet,32,17,Usa,42.35843,-71.05977
Angora,7.5,90,female,False,36,3.5,white,solid,green,FALSE,wet,16,14,Usa,38.89511,-77.03637
Ragdoll,7.58,91,male,False,36,3.6,white,solid,blue,FALSE,wet,39,18,Usa,41.881832,-87.623177
Angora,8.92,107,female,True,34,4.5,black,bicolor,amber,FALSE,dry,13,19,Usa,40.71427,-74.00597
Angora,6.75,81,female,False,33,2.9,white,solid,green,FALSE,wet,20,16,Usa,45.52345,-122.67621
Angora,9.0,108,female,True,38,3.7,white,solid,amber,TRUE,dry,6,17,Usa,38.89511,-77.03637
Angora,7.33,88,female,False,39,4.3,white,solid,amber,FALSE,wet,16,13,Usa,38.89511,-77.03637
Angora,5.17,62,female,False,36,2.5,white,solid,amber,FALSE,wet,27,13,Usa,45.52345,-122.67621
Ragdoll,9.08,109,male,True,58,5.2,black,bicolor,blue,FALSE,wet,30,20,Usa,42.35843,-71.05977
Angora,9.17,110,female,False,35,4.1,white,solid,green,FALSE,wet,20,16,Usa,47.60621,-122.33207
